Distance,Height ,Hand,Ball,Success,Student
4,sit,over,paper,1,7
4,sit,over,paper,0,7
8,stand,over,paper,1,7
8,stand,over,paper,1,7
8,stand,over,paper,0,7
8,stand,over,paper,0,7
8,stand,over,paper,0,7
8,sit,over,paper,0,7
8,sit,over,paper,0,7
8,sit,over,paper,0,7
8,sit,over,paper,0,7
8,sit,over,paper,1,7
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
2,135,overhand,,1,8
4,135,overhand,,1,8
4,135,overhand,,0,8
4,135,overhand,,1,8
4,135,overhand,,0,8
4,135,overhand,,1,8
4,135,overhand,,0,8
4,135,overhand,,0,8
4,135,overhand,,0,8
4,135,overhand,,1,8
4,135,overhand,,1,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,0,8
8,135,overhand,,1,8
2,65,overhand,,1,8
2,65,overhand,,1,8
2,65,overhand,,1,8
2,65,overhand,,1,8
2,65,overhand,,0,8
2,65,overhand,,1,8
2,65,overhand,,1,8
2,65,overhand,,0,8
2,65,overhand,,0,8
2,65,overhand,,1,8
4,65,overhand,,0,8
4,65,overhand,,1,8
4,65,overhand,,0,8
4,65,overhand,,0,8
4,65,overhand,,0,8
4,65,overhand,,0,8
4,65,overhand,,1,8
4,65,overhand,,0,8
4,65,overhand,,0,8
4,65,overhand,,1,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
8,65,overhand,,0,8
2,135,underhand,,1,8
2,135,underhand,,1,8
2,135,underhand,,0,8
2,135,underhand,,1,8
2,135,underhand,,1,8
2,135,underhand,,1,8
2,135,underhand,,1,8
2,135,underhand,,0,8
2,135,underhand,,1,8
